Time;Date;1_Feed_FLOW_CF01_PV;1_Feed_FLOW_CF01_SV;1_Feed_FLOW_CF02_PV;1_Feed_FLOW_CF02_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF06_SV;1_Feed_FLOW_CF06_SV
14:57:51;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:58:11;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
14:58:31;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
14:58:51;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:59:11;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
14:59:31;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:59:51;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:00:11;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:00:31;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:00:51;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:01:11;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:01:31;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:01:51;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:02:11;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:02:31;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
15:02:51;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:03:11;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:03:31;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:03:51;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:04:11;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:04:31;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:04:51;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:05:11;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:05:31;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:05:51;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:06:11;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:06:31;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:06:51;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:07:11;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:07:31;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:07:51;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
15:08:11;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:08:31;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:08:51;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:09:11;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:09:31;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:09:51;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
15:10:12;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
15:10:32;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:10:52;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:11:12;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
15:11:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:11:52;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:12:12;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:12:32;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:12:52;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:13:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:13:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:13:52;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:14:12;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:14:32;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
15:14:52;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:15:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:15:32;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:15:52;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:16:12;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:16:32;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
15:16:52;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:17:12;23/12/2015;-0.28125;0;150;150;0;0;60;60;0;0;50;50
15:17:32;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:17:52;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:18:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:18:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:18:52;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:19:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:19:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:19:52;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:20:12;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
15:20:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:20:52;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:21:12;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:21:32;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:21:52;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
15:22:12;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
15:22:32;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:22:52;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:23:12;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:23:32;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:23:52;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:24:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:24:32;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:24:52;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:25:12;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:25:32;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
15:25:52;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:26:12;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:26:32;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:26:52;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:27:12;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
