Time;Date;PI-01 Liquid_HC;PI-02 Gas_HC;PI-03 Inert;PI-04 H2O;PI-05 Elicra;PI-06 Nabertherm;PI-07 Outlet Reactor;PI-08 RGA Effluent Inlet
20:52:32;23/12/2015;9.94647E-03;0.6325955;9.22309E-03;0.5031105;9.982639E-03;-3.555556;-2.473958E-02;-4.991319E-03
20:52:52;23/12/2015;1.012731E-02;0.632053;9.22309E-03;0.5029297;9.982639E-03;-3.555556;-2.528212E-02;-4.882813E-03
20:53:12;23/12/2015;0.010489;0.6322337;0.0088614;0.5031105;1.009115E-02;-3.555556;-2.528212E-02;-5.31684E-03
20:53:32;23/12/2015;9.94647E-03;0.632053;8.680556E-03;0.5031105;9.982639E-03;-3.555556;-0.0250651;-4.991319E-03
20:53:52;23/12/2015;1.030816E-02;0.6324147;8.499711E-03;0.5032914;1.009115E-02;-3.555556;-0.0250651;-4.991319E-03
20:54:12;23/12/2015;9.94647E-03;0.6324147;8.499711E-03;0.5034722;1.009115E-02;-3.555556;-2.539063E-02;-5.099826E-03
20:54:32;23/12/2015;9.94647E-03;0.6324147;0.0088614;0.5031105;9.548611E-03;-3.555556;-2.539063E-02;-5.099826E-03
20:54:52;23/12/2015;9.94647E-03;0.6322337;8.318866E-03;0.5034722;9.548611E-03;-3.555556;-2.517361E-02;-5.425347E-03
20:55:12;23/12/2015;9.765625E-03;0.6324147;0.0088614;0.5034722;9.874132E-03;-3.555556;-2.517361E-02;-5.208333E-03
20:55:32;23/12/2015;1.012731E-02;0.6324147;0.0088614;0.5032914;9.765625E-03;-3.555556;-2.528212E-02;-5.099826E-03
20:55:52;23/12/2015;9.94647E-03;0.6324147;8.680556E-03;0.5034722;9.331597E-03;-3.555556;-2.473958E-02;-5.099826E-03
20:56:12;23/12/2015;9.94647E-03;0.6324147;0.0088614;0.5031105;9.874132E-03;-3.555556;-2.517361E-02;-5.099826E-03
20:56:32;23/12/2015;1.012731E-02;0.6322337;8.680556E-03;0.5032914;9.548611E-03;-3.555556;-0.0249566;-4.882813E-03
20:56:52;23/12/2015;1.066985E-02;0.6316913;8.499711E-03;0.5038339;9.982639E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:57:12;23/12/2015;1.012731E-02;0.6324147;0.0088614;0.5032914;9.657118E-03;-3.555556;-0.0250651;-5.099826E-03
20:57:32;23/12/2015;1.030816E-02;0.6322337;9.042245E-03;0.5029297;9.874132E-03;-3.555556;-0.0249566;-4.991319E-03
20:57:52;23/12/2015;1.012731E-02;0.6324147;9.403936E-03;0.5032914;9.548611E-03;-3.555556;-2.484809E-02;-4.882813E-03
20:58:12;23/12/2015;1.012731E-02;0.6324147;0.0088614;0.5031105;9.548611E-03;-3.555556;-0.0249566;-4.991319E-03
20:58:32;23/12/2015;9.94647E-03;0.6327763;9.042245E-03;0.5029297;9.765625E-03;-3.555556;-0.0249566;-5.099826E-03
20:58:52;23/12/2015;0.010489;0.6325955;0.0088614;0.5031105;9.548611E-03;-3.555556;-0.0250651;-4.882813E-03
20:59:12;23/12/2015;0.010489;0.6325955;9.22309E-03;0.5029297;9.657118E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:59:32;23/12/2015;1.030816E-02;0.6324147;0.0088614;0.5031105;9.765625E-03;-3.555556;-2.473958E-02;-5.099826E-03
20:59:52;23/12/2015;1.030816E-02;0.6325955;9.042245E-03;0.5032914;9.657118E-03;-3.555556;-0.0250651;-5.208333E-03
21:00:12;23/12/2015;0.010489;0.6327763;9.22309E-03;0.5031105;9.440104E-03;-3.555556;-0.0249566;-4.991319E-03
21:00:32;23/12/2015;1.066985E-02;0.6324147;0.0088614;0.5031105;9.440104E-03;-3.555556;-0.0250651;-4.882813E-03
21:00:52;23/12/2015;1.012731E-02;0.6325955;9.22309E-03;0.5027488;9.657118E-03;-3.555556;-2.517361E-02;-5.099826E-03
21:01:12;23/12/2015;1.012731E-02;0.6322337;9.403936E-03;0.5034722;9.548611E-03;-3.555556;-0.0250651;-5.099826E-03
21:01:32;23/12/2015;1.012731E-02;0.6324147;9.22309E-03;0.5032914;9.657118E-03;-3.555556;-2.517361E-02;-5.208333E-03
21:01:52;23/12/2015;9.94647E-03;0.6322337;9.403936E-03;0.5031105;9.657118E-03;-3.555556;-2.539063E-02;-5.208333E-03
21:02:12;23/12/2015;1.012731E-02;0.6318721;9.403936E-03;0.5032914;9.765625E-03;-3.555556;-0.0250651;-5.208333E-03
21:02:32;23/12/2015;1.012731E-02;0.6322337;0.0088614;0.5032914;9.548611E-03;-3.555556;-0.0250651;-4.882813E-03
21:02:52;23/12/2015;0.010489;0.6322337;9.042245E-03;0.5031105;9.22309E-03;-3.555556;-2.484809E-02;-4.991319E-03
21:03:12;23/12/2015;9.58478E-03;0.6327763;9.22309E-03;0.5031105;9.440104E-03;-3.555556;-2.539063E-02;-5.099826E-03
21:03:32;23/12/2015;9.765625E-03;0.6329572;9.042245E-03;0.5031105;9.548611E-03;-3.555556;-2.528212E-02;-5.31684E-03
21:03:52;23/12/2015;9.765625E-03;0.6325955;9.22309E-03;0.5029297;9.548611E-03;-3.555556;-2.528212E-02;-5.425347E-03
21:04:12;23/12/2015;9.94647E-03;0.6327763;9.22309E-03;0.5034722;9.440104E-03;-3.555556;-0.0250651;-5.099826E-03
21:04:32;23/12/2015;9.58478E-03;0.6329572;9.58478E-03;0.5040147;9.440104E-03;-3.555556;-2.517361E-02;-5.208333E-03
21:04:52;23/12/2015;1.030816E-02;0.6325955;9.22309E-03;0.5031105;9.331597E-03;-3.555556;-0.0250651;-5.099826E-03
21:05:12;23/12/2015;9.94647E-03;0.6325955;9.22309E-03;0.5032914;9.657118E-03;-3.555556;-0.0250651;-5.425347E-03
