simulation names,InChI
IC4H6OH,"1S/C4H7O/c1-4(2)3-5/h5H,1-3H2"
IC3H5CHO,"1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3"
IC3H5CO,"1S/C4H5O/c1-4(2)3-5/h1H2,2H3"
TC3H6OCHO,"1S/C4H7O2/c1-4(2,6)3-5/h3H,1-2H3"
IC3H6CO,1S/C4H6O/c1-4(2)3-5/h1-2H3
IC4H7OOH,"1S/C4H8O2/c1-4(2)3-6-5/h5H,1,3H2,2H3"
C3H6OH2-1,"1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3"
IC3H5OH,"1S/C3H6O/c1-3(2)4/h4H,1H2,2H3"
TC3H6O2CHO,"1S/C4H7O3/c1-4(2,3-5)7-6/h3H,1-2H3"
TC3H6O2HCO,"1S/C4H7O3/c1-4(2,3-5)7-6/h6H,1-2H3"
IC3H5O2HCHO,"1S/C4H7O3/c1-4(2,3-5)7-6/h3,6H,1H2,2H3"
CH2CCH2OH,"1S/C3H5O/c1-2-3-4/h4H,1,3H2"
TC4H8CHO,"1S/C5H9O/c1-5(2,3)4-6/h4H,1H2,2-3H3"
O2C4H8CHO,"1S/C5H9O3/c1-5(2,3-6)4-8-7/h3H,4H2,1-2H3"
O2HC4H8CO,"1S/C5H9O3/c1-5(2,3-6)4-8-7/h7H,4H2,1-2H3"
C3H5OH,"1S/C3H6O/c1-2-3-4/h2,4H,1,3H2"
TIC4H7Q2-I,"1S/C4H9O4/c1-4(2,8-6)3-7-5/h5-6H,1,3H2,2H3"
IIC4H7Q2-T,"1S/C4H9O4/c1-4(2-7-5)3-8-6/h5-6H,2-3H2,1H3"
IIC4H7Q2-I,"1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-6H,1-3H2"
CH2O2H,"1S/CH3O2/c1-3-2/h2H,1H2"
C4H4,"1S/C4H4/c1-3-4-2/h1,4H,2H2"
C4H3-I,"1S/C4H3/c1-3-4-2/h1H,2H2"
C4H3-N,1S/C4H3/c1-3-4-2/h1-3H
C4H612,"1S/C4H6/c1-3-4-2/h4H,1H2,2H3"
